"","Authors","PubYear","Title","Study.Type","Field_plot.size_ha","Fitness.measure","Organism","Common.Name","Order","Functional.group","Nesting.Area","Foraging.Area","Treatment.1","Treatment.2","Treatment.3","Treatment.4","Treatment.5","AI.type","Control.AI.Rate","AI.Rate_T1","AI.Rate_T2","Application.Units","Control.Dose_T1","Dose_T1","Dose_T2","Dose_T3","Dose_T4","Dose.Units","Control_ppb","T1_ppb","T2_ppb","T3_ppb","T4_ppb","Study.control..n.","Study.T1..n.","Study.T2..n.","Study.T3..n.","Study.T4..n.","Study.Year","Indpen..Study.n.unit","Response.measure","Notes","Con_Mean","Con_SE","T1_Mean","T1_SE","T2_Mean","T2_SE","T3_Mean","T3_SE","T4_Mean","T4_SE","No_Treatments","No_Replicates","No_SamplePeriods","Study.Location","Mean.Data.Source","Graph.Digitizer","yi","vi","omnivore","pollinator","predator"
"16","Knoepp et al. ","2012","Imidacloprid movement in soils and impacts on soil microathropods in southern appalachian eastern hemlock stands","trees","","abundance","Orabatida","Orbatid mites","Orabatida","detritivore","both","both","control","IMI","","","","soil injection",0,1.5,NA,"g/inch",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,2,6,NA,NA,NA,2008,"tree","abundance","post-treatment counts per tree (dripline), high elevation, 1yr",6.5,3.18,6.41,2.62,NA,NA,NA,NA,NA,NA,2,"4",3,"North Carolina","Author","N",-0.0268326001909259,1.02100263173504,0,0,0
"17","Peck et al.","2009","Comparative impacts of white grub (coleoptera: scarabaeidae) control products on the abundance of non-target soil-active arthropods in turfgrass","field plots","0.61","abundance","Collembola","springtails","Collembola","detritivore","both","both","control","IMI","","","","granular",0,0.37,NA,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2001,"field plot","abundance","mean average over both sampling dates sampling date",308,48,119,30,NA,NA,NA,NA,NA,NA,2,"4",4,"New York","Fig 2","Y",-4.10169833913522,1.76395427124953,0,0,0
"18","Peck et al.","2009","Comparative impacts of white grub (coleoptera: scarabaeidae) control products on the abundance of non-target soil-active arthropods in turfgrass","field plots","0.61","abundance","coleoptera","beetle","Coleoptera","omnivore","both","both","control","IMI","","","","granular",0,0.37,NA,"kg/ha",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2002,"field plot","abundance","mean average over both sampling dates sampling date",12,1.5,4.9,0.5,NA,NA,NA,NA,NA,NA,2,"4",4,"New York","Fig 2","Y",-5.51615563178934,3.64063989062937,1,0,0
"19","Seagraves and Lundgren","2012","Effects of neonicotinoid seed treatments on soybean aphid and its natural enemies","field plots","0.004","abundance","Orius insidiosus","Insidious flower bugs","Hemiptera","predator","aboveground","aboveground","control","IMI","THX","","","seed treatment",0,62.5,50,"g/100 kg seed",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,4,NA,NA,2009,"field plot","abundance","mean seasonal sum per field plot",18.25,2.54,11.87,1.62,14.87,2.59,NA,NA,NA,NA,3,"4",8,"South Dakota","table 3","N",-2.60148664961135,1.00420251380215,0,0,1
"20","Seagraves and Lundgren","2012","Effects of neonicotinoid seed treatments on soybean aphid and its natural enemies","field plots","0.004","abundance","Nabis americoferus","damnsel bugs","Hemiptera","predator","aboveground","aboveground","control","IMI","THX","","","seed treatment",0,62.5,50,"g/100 kg seed",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,4,NA,NA,2009,"field plot","abundance","mean seasonal sum per field plot",14.25,1.88,8.62,1.54,8.5,0.57,NA,NA,NA,NA,3,"4",8,"South Dakota","table 3","N",-2.84583581004859,1.03196654257685,0,0,1
"21","Seagraves and Lundgren","2012","Effects of neonicotinoid seed treatments on soybean aphid and its natural enemies","field plots","0.004","abundance","Araneae","spiders","Araneae","predator","aboveground","aboveground","control","IMI","THX","","","seed treatment",0,62.5,50,"g/100 kg seed",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,4,NA,NA,2009,"field plot","abundance","mean seasonal sum per field plot",24.37,3.79,22.87,4.09,18.12,2.59,NA,NA,NA,NA,3,"4",8,"South Dakota","table 3","N",-0.330456043745109,0.509914044735856,0,0,1
"22","Seagraves and Lundgren","2012","Effects of neonicotinoid seed treatments on soybean aphid and its natural enemies","field plots","0.004","abundance","Opilionidae","harvestmen","Opilionidae","omnivore","aboveground","aboveground","control","IMI","THX","","","seed treatment",0,62.5,50,"g/100 kg seed",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,4,NA,NA,2009,"field plot","abundance","mean seasonal sum per field plot",8.62,1.29,9,1.45,8,1.66,NA,NA,NA,NA,3,"4",8,"South Dakota","table 3","N",0.240523221472555,0.506694959301428,1,0,0
"23","Seagraves and Lundgren","2012","Effects of neonicotinoid seed treatments on soybean aphid and its natural enemies","field plots","0.004","abundance","Chyrsoperla sp.","lacewing","Neuroptera","predator","aboveground","aboveground","control","IMI","THX","","","seed treatment",0,62.5,50,"g/100 kg seed",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,4,NA,NA,2009,"field plot","abundance","mean seasonal sum per field plot",5,0.53,2,0.53,2.75,0.98,NA,NA,NA,NA,3,"4",8,"South Dakota","table 3","N",-4.91675483675894,2.02300335208406,0,0,1
"24","Seagraves and Lundgren","2012","Effects of neonicotinoid seed treatments on soybean aphid and its natural enemies","field plots","0.004","abundance","Coccinellidae","lady beetles","Coleoptera","predator","aboveground","aboveground","control","IMI","THX","","","seed treatment",0,62.5,50,"g/100 kg seed",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,4,NA,NA,2009,"field plot","abundance","mean seasonal sum per field plot",4.87,1.17,3.37,0.92,4.25,0.75,NA,NA,NA,NA,3,"4",8,"South Dakota","table 3","N",-1.23800714653094,0.604736807761232,0,0,1
"25","Seagraves and Lundgren","2012","Effects of neonicotinoid seed treatments on soybean aphid and its natural enemies","field plots","0.004","abundance","Chyrsoperla sp.","lacewing larvae","Neuroptera","predator","aboveground","aboveground","control","IMI","THX","","","seed treatment",0,62.5,50,"g/100 kg seed",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,4,NA,NA,2009,"field plot","abundance","mean seasonal sum per field plot",2.87,0.89,1.75,0.7,1.75,0.77,NA,NA,NA,NA,3,"4",8,"South Dakota","table 3","N",-1.21508102529147,0.60099386267512,0,0,1
"26","Seagraves and Lundgren","2012","Effects of neonicotinoid seed treatments on soybean aphid and its natural enemies","field plots","0.004","abundance","Coccinellidae","lady beetle larvae","Coleoptera","predator","aboveground","aboveground","control","IMI","THX","","","seed treatment",0,62.5,50,"g/100 kg seed",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,4,NA,NA,2009,"field plot","abundance","mean seasonal sum per field plot",14.5,4.32,15,4.94,8.87,3.13,NA,NA,NA,NA,3,"4",8,"South Dakota","table 3","N",0.0935946237357189,0.503568794940212,0,0,1
"27","Easton and Goulson","2013","The neonicotinoid insecticide imidacloprid repels pollinating flies and beetles at field-realistic concentrations","field","4","abundance","Diptera","true flies","Diptera","omnivore","aboveground","aboveground","control","IMI","","","","analytical grade",NA,NA,NA,"",0,1,NA,NA,NA,"µg/L","0",1,NA,NA,NA,25,25,NA,NA,NA,2012,"pan trap","avoidance","mean caught per trap",172,26,2,0.8,NA,NA,NA,NA,NA,NA,2,"25",7,"United Kingdom","fig 1","Y",-9.0971109767945,1.74790813889911,1,0,0
"28","Easton and Goulson","2013","The neonicotinoid insecticide imidacloprid repels pollinating flies and beetles at field-realistic concentrations","field","4","abundance","Diptera","true flies","Diptera","omnivore","aboveground","aboveground","control","IMI","","","","analytical grade",NA,NA,NA,"",0,0.1,NA,NA,NA,"µg/L","0",0.1,NA,NA,NA,25,25,NA,NA,NA,2012,"pan trap","avoidance","mean caught per trap",80,36,26,14,NA,NA,NA,NA,NA,NA,2,"25",7,"United Kingdom","fig 1","Y",-1.94599963078513,0.139723328611523,1,0,0
"29","Easton and Goulson","2013","The neonicotinoid insecticide imidacloprid repels pollinating flies and beetles at field-realistic concentrations","field","4","abundance","Diptera","true flies","Diptera","omnivore","aboveground","aboveground","control","IMI","","","","analytical grade",NA,NA,NA,"",0,0.01,NA,NA,NA,"µg/L","0",0.01,NA,NA,NA,25,25,NA,NA,NA,2012,"pan trap","avoidance","mean caught per trap",95,44,43,22,NA,NA,NA,NA,NA,NA,2,"25",7,"United Kingdom","fig 1","Y",-1.47139428853841,0.110447935256604,1,0,0
"30","Easton and Goulson","2013","The neonicotinoid insecticide imidacloprid repels pollinating flies and beetles at field-realistic concentrations","field","4","abundance","Coleoptera","beetle","Coleoptera","omnivore","both","both","control","IMI","","","","analytical grade",NA,NA,NA,"",0,1,NA,NA,NA,"µg/L","0",1,NA,NA,NA,25,25,NA,NA,NA,2012,"pan trap","avoidance","mean caught per trap",2.75,0.43,0.86,0.18,NA,NA,NA,NA,NA,NA,2,"25",7,"United Kingdom","fig 1","Y",-5.6437185339211,0.560484109260893,1,0,0
"31","Easton and Goulson","2013","The neonicotinoid insecticide imidacloprid repels pollinating flies and beetles at field-realistic concentrations","field","4","abundance","Coleoptera","beetle","Coleoptera","omnivore","both","both","control","IMI","","","","analytical grade",NA,NA,NA,"",0,0.1,NA,NA,NA,"µg/L","0",0.1,NA,NA,NA,25,25,NA,NA,NA,2012,"pan trap","avoidance","mean caught per trap",2.51,0.63,2.25,0.35,NA,NA,NA,NA,NA,NA,2,"25",7,"United Kingdom","fig 1","Y",-0.502175800579514,0.0839890694781008,1,0,0
"32","Easton and Goulson","2013","The neonicotinoid insecticide imidacloprid repels pollinating flies and beetles at field-realistic concentrations","field","4","abundance","Coleoptera","beetle","Coleoptera","omnivore","both","both","control","IMI","","","","analytical grade",NA,NA,NA,"",0,0.01,NA,NA,NA,"µg/L","0",0.01,NA,NA,NA,25,25,NA,NA,NA,2012,"pan trap","avoidance","mean caught per trap",3.64,0.4,3.36,0.39,NA,NA,NA,NA,NA,NA,2,"25",7,"United Kingdom","fig 1","Y",-0.697661170536793,0.0856489380694339,1,0,0
"33","Easton and Goulson","2013","The neonicotinoid insecticide imidacloprid repels pollinating flies and beetles at field-realistic concentrations","field","4","abundance","Araneae","spiders","Araneae","predator","aboveground","aboveground","control","IMI","","","","analytical grade",NA,NA,NA,"",0,1,NA,NA,NA,"µg/L","0",1,NA,NA,NA,25,25,NA,NA,NA,2012,"pan trap","avoidance","mean caught per trap",5.44,0.42,3.97,0.17,NA,NA,NA,NA,NA,NA,2,"25",7,"United Kingdom","fig 1","Y",-4.51602425023129,0.392788417138228,0,0,1
"34","Easton and Goulson","2013","The neonicotinoid insecticide imidacloprid repels pollinating flies and beetles at field-realistic concentrations","field","4","abundance","Araneae","spiders","Araneae","predator","aboveground","aboveground","control","IMI","","","","analytical grade",NA,NA,NA,"",0,0.1,NA,NA,NA,"µg/L","0",0.1,NA,NA,NA,25,25,NA,NA,NA,2012,"pan trap","avoidance","mean caught per trap",5.64,0.6,10.43,0.39,NA,NA,NA,NA,NA,NA,2,"25",7,"United Kingdom","fig 1","Y",9.31733114196455,1.10121731343723,0,0,1
"35","Easton and Goulson","2013","The neonicotinoid insecticide imidacloprid repels pollinating flies and beetles at field-realistic concentrations","field","4","abundance","Araneae","spiders","Araneae","predator","aboveground","aboveground","control","IMI","","","","analytical grade",NA,NA,NA,"",0,0.01,NA,NA,NA,"µg/L","0",0.01,NA,NA,NA,25,25,NA,NA,NA,2012,"pan trap","avoidance","mean caught per trap",5.37,0.4,7.81,0.34,NA,NA,NA,NA,NA,NA,2,"25",7,"United Kingdom","fig 1","Y",6.46969228483227,0.514105786421335,0,0,1
"36","Albajes et al.","2003","Predatory fauna in cornfields and response to imidacloprid seed treatment","field plots","0.4 to 1","abundance","Carabidae","beetle","Coleoptera","predator","both","both","control","IMI","","","","seed treatment",0,4.9,NA,"g/kg",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,1997,"field plot","abundance","mean of pitfall traps per sampling year",12.3,3.5,7.1,2.2,NA,NA,NA,NA,NA,NA,2,"4",NA,"Spain","table 3","N",-1.5451849826552,0.681353490855645,0,0,1
"37","Albajes et al.","2003","Predatory fauna in cornfields and response to imidacloprid seed treatment","field plots","0.4 to 1","abundance","Carabidae","beetle","Coleoptera","predator","both","both","control","IMI","","","","seed treatment",0,4.9,NA,"g/kg",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,1998,"field plot","abundance","mean of pitfall traps per sampling year",7.5,2,3,0.7,NA,NA,NA,NA,NA,NA,2,"4",NA,"Spain","table 3","N",-2.60878032043272,1.19243177921823,0,0,1
"38","Albajes et al.","2003","Predatory fauna in cornfields and response to imidacloprid seed treatment","field plots","0.4 to 1","abundance","Carabidae","beetle","Coleoptera","predator","both","both","control","IMI","","","","seed treatment",0,4.9,NA,"g/kg",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,1999,"field plot","abundance","mean of pitfall traps per sampling year",8.2,1.8,10.5,3.7,NA,NA,NA,NA,NA,NA,2,"4",NA,"Spain","table 3","N",0.686669129581091,0.543950500031838,0,0,1
"39","Albajes et al.","2003","Predatory fauna in cornfields and response to imidacloprid seed treatment","field plots","0.4 to 1","abundance","Carabidae","beetle","Coleoptera","predator","both","both","control","IMI","","","","seed treatment",0,4.9,NA,"g/kg",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2000,"field plot","abundance","mean of pitfall traps per sampling year",26.6,5.4,21.7,4.3,NA,NA,NA,NA,NA,NA,2,"4",NA,"Spain","table 3","N",-0.871992589053979,0.553214579493681,0,0,1
"40","Albajes et al.","2003","Predatory fauna in cornfields and response to imidacloprid seed treatment","field plots","0.4 to 1","abundance","Carabidae","beetle","Coleoptera","predator","both","both","control","IMI","","","","seed treatment",0,4.9,NA,"g/kg",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2001,"field plot","abundance","mean of pitfall traps per sampling year",10.9,2.4,15.1,3.6,NA,NA,NA,NA,NA,NA,2,"4",NA,"Spain","table 3","N",1.19246196226216,0.605641726110932,0,0,1
"41","Albajes et al.","2003","Predatory fauna in cornfields and response to imidacloprid seed treatment","field plots","0.4 to 1","abundance","Araneae","spiders","Araneae","predator","aboveground","aboveground","control","IMI","","","","seed treatment",0,4.9,NA,"g/kg",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,1997,"field plot","abundance","mean of pitfall traps per sampling year",16,2.8,15.6,2.9,NA,NA,NA,NA,NA,NA,2,"4",NA,"Spain","table 3","N",-0.121893760374902,0.503943582248727,0,0,1
"42","Albajes et al.","2003","Predatory fauna in cornfields and response to imidacloprid seed treatment","field plots","0.4 to 1","abundance","Araneae","spiders","Araneae","predator","aboveground","aboveground","control","IMI","","","","seed treatment",0,4.9,NA,"g/kg",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,1998,"field plot","abundance","mean of pitfall traps per sampling year",9.7,1,9,1,NA,NA,NA,NA,NA,NA,2,"4",NA,"Spain","table 3","N",-0.608038681479189,0.526254176385716,0,0,1
"43","Albajes et al.","2003","Predatory fauna in cornfields and response to imidacloprid seed treatment","field plots","0.4 to 1","abundance","Araneae","spiders","Araneae","predator","aboveground","aboveground","control","IMI","","","","seed treatment",0,4.9,NA,"g/kg",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,1999,"field plot","abundance","mean of pitfall traps per sampling year",17.7,2.3,16.8,1.9,NA,NA,NA,NA,NA,NA,2,"4",NA,"Spain","table 3","N",-0.370591686474201,0.511951186577941,0,0,1
"44","Albajes et al.","2003","Predatory fauna in cornfields and response to imidacloprid seed treatment","field plots","0.4 to 1","abundance","Araneae","spiders","Araneae","predator","aboveground","aboveground","control","IMI","","","","seed treatment",0,4.9,NA,"g/kg",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2000,"field plot","abundance","mean of pitfall traps per sampling year",8.2,1.6,7.1,1.2,NA,NA,NA,NA,NA,NA,2,"4",NA,"Spain","table 3","N",-0.675633003410611,0.533960070195238,0,0,1
"45","Albajes et al.","2003","Predatory fauna in cornfields and response to imidacloprid seed treatment","field plots","0.4 to 1","abundance","Araneae","spiders","Araneae","predator","aboveground","aboveground","control","IMI","","","","seed treatment",0,4.9,NA,"g/kg",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,2001,"field plot","abundance","mean of pitfall traps per sampling year",3.6,1.7,4.2,0.8,NA,NA,NA,NA,NA,NA,2,"4",NA,"Spain","table 3","N",0.392294359771219,0.516615710192093,0,0,1
"46","Albajes et al.","2003","Predatory fauna in cornfields and response to imidacloprid seed treatment","field plots","0.4 to 1","abundance","Opilionidae","harvestmen","Opilionidae","omnivore","aboveground","aboveground","control","IMI","","","","seed treatment",0,4.9,NA,"g/kg",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,1997,"field plot","abundance","mean of pitfall traps per sampling year",1.8,0.3,3.2,0.9,NA,NA,NA,NA,NA,NA,2,"4",NA,"Spain","table 3","N",1.81282109964908,0.841882671541696,1,0,0
"47","Albajes et al.","2003","Predatory fauna in cornfields and response to imidacloprid seed treatment","field plots","0.4 to 1","abundance","Opilionidae","harvestmen","Opilionidae","omnivore","aboveground","aboveground","control","IMI","","","","seed treatment",0,4.9,NA,"g/kg",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,1998,"field plot","abundance","mean of pitfall traps per sampling year",0.4,0.1,0.3,0.1,NA,NA,NA,NA,NA,NA,2,"4",NA,"Spain","table 3","N",-0.868626687827413,0.550448952309527,1,0,0
"48","Albajes et al.","2003","Predatory fauna in cornfields and response to imidacloprid seed treatment","field plots","0.4 to 1","abundance","Opilionidae","harvestmen","Opilionidae","omnivore","aboveground","aboveground","control","IMI","","","","seed treatment",0,4.9,NA,"g/kg",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,4,4,NA,NA,NA,1999,"field plot","abundance","mean of pitfall traps per sampling year",1,0.4,0.8,0.3,NA,NA,NA,NA,NA,NA,2,"4",NA,"Spain","table 3","N",-0.491369457025899,0.519379444290282,1,0,0
