Authors,Year,Study Type,Organism,Common Name,Functional group,Habitat,AI,AI type,Application Rate,Application Units,Dose,Dose Units,Conversion,Individuals (n),Fitness measure,n measure,Response measure,Notes,Mean,SE,SD,Treatment,Replicates,No. Sample Periods,Study Location,Data Source,Graph Digitizer
Easton and Goulson,2013,field,Coleoptera,beetle,omnivore,both,IMI,analytical grade,,,0.1,µg/L,,383,abundance,% of total caught,avoidance,mean caught per trap,2.25,0.35,,2,25,,"Stirling, Scotland",figure 1,Y
Easton and Goulson,2013,field,Coleoptera,beetle,omnivore,both,control,water,,,0,µg/L,,383,abundance,% of total caught,avoidance,mean caught per trap,2.51,0.63,,2,25,,"Stirling, Scotland",figure 1,Y
Easton and Goulson,2013,field,Coleoptera,beetle,omnivore,both,IMI,analytical grade,,,0.01,µg/L,,383,abundance,% of total caught,avoidance,mean caught per trap,3.36,0.39,,2,25,,"Stirling, Scotland",figure 1,Y
Easton and Goulson,2013,field,Coleoptera,beetle,omnivore,both,control,water,,,0,µg/L,,383,abundance,% of total caught,avoidance,mean caught per trap,3.64,0.4,,2,25,,"Stirling, Scotland",figure 1,Y
Easton and Goulson,2013,field,Araneae,spiders,predator,,IMI,analytical grade,,,1,µg/L,,957,abundance,% of total caught,avoidance,mean caught per trap,3.97,0.17,,2,25,,"Stirling, Scotland",figure 1,Y
Easton and Goulson,2013,field,Araneae,spiders,predator,,control,water,,,0,µg/L,,957,abundance,% of total caught,avoidance,mean caught per trap,5.44,0.42,,2,25,,"Stirling, Scotland",figure 1,Y
Easton and Goulson,2013,field,Araneae,spiders,predator,,IMI,analytical grade,,,0.1,µg/L,,957,abundance,% of total caught,avoidance,mean caught per trap,10.43,0.39,,2,25,,"Stirling, Scotland",figure 1,Y
Easton and Goulson,2013,field,Araneae,spiders,predator,,control,water,,,0,µg/L,,957,abundance,% of total caught,avoidance,mean caught per trap,5.64,0.6,,2,25,,"Stirling, Scotland",figure 1,Y
Easton and Goulson,2013,field,Araneae,spiders,predator,,IMI,analytical grade,,,0.01,µg/L,,957,abundance,% of total caught,avoidance,mean caught per trap,7.81,0.34,,2,25,,"Stirling, Scotland",figure 1,Y
Easton and Goulson,2013,field,Araneae,spiders,predator,,control,water,,,0,µg/L,,957,abundance,% of total caught,avoidance,mean caught per trap,5.37,0.4,,2,25,,"Stirling, Scotland",figure 1,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,control,none,0,kg/ha,,,,110,abundance,total,abundance,mean caught per sampling period,7.79,3.7,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,control,none,0,kg/ha,,,,110,abundance,total,abundance,mean caught per sampling period,6.97,3.03,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,control,none,0,kg/ha,,,,110,abundance,total,abundance,mean caught per sampling period,9.63,1.85,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,control,none,0,kg/ha,,,,110,abundance,total,abundance,mean caught per sampling period,18.65,3.85,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,control,none,0,kg/ha,,,,72,abundance,total,abundance,mean caught per sampling period,4.51,1.02,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,control,none,0,kg/ha,,,,72,abundance,total,abundance,mean caught per sampling period,7.79,1.43,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,control,none,0,kg/ha,,,,72,abundance,total,abundance,mean caught per sampling period,21.3,5.5,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,control,none,0,kg/ha,,,,72,abundance,total,abundance,mean caught per sampling period,21.9,5.1,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,control,none,0,kg/ha,,,,75,abundance,total,abundance,mean caught per sampling period,2.87,0.4,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,control,none,0,kg/ha,,,,75,abundance,total,abundance,mean caught per sampling period,2.45,0.62,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,control,none,0,kg/ha,,,,75,abundance,total,abundance,mean caught per sampling period,9.22,1.02,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,control,none,0,kg/ha,,,,75,abundance,total,abundance,mean caught per sampling period,14.75,4.15,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,control,none,0,kg/ha,,,,102,abundance,total,abundance,mean caught per sampling period,9.63,2.46,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,control,none,0,kg/ha,,,,102,abundance,total,abundance,mean caught per sampling period,9.22,0.82,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,control,none,0,kg/ha,,,,102,abundance,total,abundance,mean caught per sampling period,16.6,5.41,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,control,none,0,kg/ha,,,,102,abundance,total,abundance,mean caught per sampling period,8.2,1.43,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,control,none,0,kg/ha,,,,185,abundance,total,abundance,mean caught per sampling period,5.53,2.25,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,control,none,0,kg/ha,,,,185,abundance,total,abundance,mean caught per sampling period,21.1,5.7,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,control,none,0,kg/ha,,,,185,abundance,total,abundance,mean caught per sampling period,33.8,8.82,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,control,none,0,kg/ha,,,,185,abundance,total,abundance,mean caught per sampling period,41.4,4.5,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,IMI,granular,0.37,kg/ha,,,,218,abundance,total,abundance,mean caught per sampling period,8.2,1,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,IMI,granular,0.37,kg/ha,,,,218,abundance,total,abundance,mean caught per sampling period,4.3,1.43,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,IMI,granular,0.37,kg/ha,,,,218,abundance,total,abundance,mean caught per sampling period,3.89,0.12,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,IMI,granular,0.37,kg/ha,,,,218,abundance,total,abundance,mean caught per sampling period,6.35,1.23,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,IMI,granular,0.37,kg/ha,,,,50,abundance,total,abundance,mean caught per sampling period,2.66,0.82,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,IMI,granular,0.37,kg/ha,,,,50,abundance,total,abundance,mean caught per sampling period,3.28,0.81,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,IMI,granular,0.37,kg/ha,,,,50,abundance,total,abundance,mean caught per sampling period,2.87,1.02,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,IMI,granular,0.37,kg/ha,,,,50,abundance,total,abundance,mean caught per sampling period,9.63,2.25,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,IMI,granular,0.37,kg/ha,,,,80,abundance,total,abundance,mean caught per sampling period,2.05,0.51,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,IMI,granular,0.37,kg/ha,,,,80,abundance,total,abundance,mean caught per sampling period,1.84,1.02,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,IMI,granular,0.37,kg/ha,,,,80,abundance,total,abundance,mean caught per sampling period,4.3,2.46,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,IMI,granular,0.37,kg/ha,,,,80,abundance,total,abundance,mean caught per sampling period,2.87,1.64,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,IMI,granular,0.37,kg/ha,,,,108,abundance,total,abundance,mean caught per sampling period,8.4,1.6,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,IMI,granular,0.37,kg/ha,,,,108,abundance,total,abundance,mean caught per sampling period,5.94,2.05,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,IMI,granular,0.37,kg/ha,,,,108,abundance,total,abundance,mean caught per sampling period,6.35,2.67,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,IMI,granular,0.37,kg/ha,,,,108,abundance,total,abundance,mean caught per sampling period,4.71,1.02,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,IMI,granular,0.37,kg/ha,,,,182,abundance,total,abundance,mean caught per sampling period,5.94,1.18,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,IMI,granular,0.37,kg/ha,,,,182,abundance,total,abundance,mean caught per sampling period,5.12,1.23,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,IMI,granular,0.37,kg/ha,,,,182,abundance,total,abundance,mean caught per sampling period,7.38,1.64,,2,4,4,"Geneva, NY",figure 3,Y
Peck,2009a,field plot,Coleoptera adults,beetle,omnivore,,IMI,granular,0.37,kg/ha,,,,182,abundance,total,abundance,mean caught per sampling period,8.4,2.25,,2,4,4,"Geneva, NY",figure 3,Y
Tran,2004,lab,Neochrysocharis formosa,parasitoid wasp,parasitoid,,IMI,commercial liquid,,,0.5,g/L,,20,reproduction,total,no. of eggs laid,mean per sampling period,0.65,,0.99,1,1,1,Japan,table 3,N
Tran,2004,lab,Neochrysocharis formosa,parasitoid wasp,parasitoid,,control,water,,,0,g/L,,20,reproduction,total,no. of eggs laid,mean per sampling period,2.35,,0.81,1,1,1,Japan,table 3,N
Tran,2004,lab,Neochrysocharis formosa,parasitoid wasp,parasitoid,,IMI,commercial liquid,,,0.5,g/L,,20,reproduction,total,no. of oviposit insertions,mean per sampling period,1.95,,2.37,1,1,1,Japan,table 3,N
Tran,2004,lab,Neochrysocharis formosa,parasitoid wasp,parasitoid,,control,water,,,0,g/L,,20,reproduction,total,no. of oviposit insertions,mean per sampling period,5.63,,2.41,1,1,1,Japan,table 3,N
Tran,2004,lab,Neochrysocharis formosa,parasitoid wasp,parasitoid,,IMI,commercial liquid,,,0.5,g/L,,20,feeding,total,no. of hosts fed on,mean per sampling period,0,,0,1,1,1,Japan,table 3,N
Tran,2004,lab,Neochrysocharis formosa,parasitoid wasp,parasitoid,,control,water,,,0,g/L,,20,feeding,total,no. of hosts fed on,mean per sampling period,0.25,,0.44,1,1,1,Japan,table 3,N
Tran,2004,lab,Neochrysocharis formosa,parasitoid wasp,parasitoid,,IMI,commercial liquid,,,0.5,g/L,,20,feeding,total,no. of hosts found,mean per sampling period,1.1,,0.97,1,1,1,Japan,table 3,N
Tran,2004,lab,Neochrysocharis formosa,parasitoid wasp,parasitoid,,control,water,,,0,g/L,,20,feeding,total,no. of hosts found,mean per sampling period,3.05,,1.15,1,1,1,Japan,table 3,N
Moscardini et al.,2014,lab,Lysiphlebus testaceipes,parasitoid wasp,parasitoid,,THX,treated seed,50,mg/kg,,,,30,feeding,total,percent aphids attacked,mean,24.4,5.2,,2,4,1,Kansas,table 1,N
Moscardini et al.,2014,lab,Lysiphlebus testaceipes,parasitoid wasp,parasitoid,,control,untreated seed,50,mg/kg,,,,30,feeding,total,percent aphids attacked,mean,43.1,7.4,,2,4,1,Kansas,table 1,N
Moscardini et al.,2014,lab,Lysiphlebus testaceipes,parasitoid wasp,parasitoid,,THX,treated seed,50,mg/kg,,,,30,feeding,total,percent aphids paralyzed,mean,20.6,5,,2,4,1,Kansas,table 1,N
Moscardini et al.,2014,lab,Lysiphlebus testaceipes,parasitoid wasp,parasitoid,,control,untreated seed,50,mg/kg,,,,30,feeding,total,percent aphids paralyzed,mean,38.8,7.9,,2,4,1,Kansas,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,control,none,,,0,ppb,,66,reproduction,total,cocoon completion (female),mean,12.5,0.16,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,CLO,technical grade,,,3,ppb,,62,reproduction,total,cocoon completion (female),mean,12.8,0.18,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,CLO,technical grade,,,30,ppb,,50,reproduction,total,cocoon completion (female),mean,12.7,0.25,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,CLO,technical grade,,,300,ppb,,62,reproduction,total,cocoon completion (female),mean,12.9,0.2,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,control,none,,,0,ppb,,93,reproduction,total,cocoon completion (male),mean,12.6,0.21,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,CLO,technical grade,,,3,ppb,,85,reproduction,total,cocoon completion (male),mean,12.5,0.21,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,CLO,technical grade,,,30,ppb,,98,reproduction,total,cocoon completion (male),mean,12.7,0.17,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,CLO,technical grade,,,300,ppb,,93,reproduction,total,cocoon completion (male),mean,12.8,0.2,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,control,none,,,0,ppb,,74,reproduction,total,cocoon darkening (female),mean,15.1,0.38,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,CLO,technical grade,,,3,ppb,,74,reproduction,total,cocoon darkening (female),mean,15.5,0.46,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,CLO,technical grade,,,30,ppb,,53,reproduction,total,cocoon darkening (female),mean,15.4,0.52,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,CLO,technical grade,,,300,ppb,,62,reproduction,total,cocoon darkening (female),mean,15.5,0.51,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,control,none,,,0,ppb,,95,reproduction,total,cocoon darkening (male),mean,16.4,0.46,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,CLO,technical grade,,,3,ppb,,89,reproduction,total,cocoon darkening (male),mean,15.9,0.49,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,CLO,technical grade,,,30,ppb,,85,reproduction,total,cocoon darkening (male),mean,15.3,0.4,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,CLO,technical grade,,,300,ppb,,92,reproduction,total,cocoon darkening (male),mean,14.9,0.33,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,control,none,,,0,ppb,,89,reproduction,total,emergence (female),mean,25.7,0.31,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,CLO,technical grade,,,3,ppb,,89,reproduction,total,emergence (female),mean,26.5,0.22,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,CLO,technical grade,,,30,ppb,,70,reproduction,total,emergence (female),mean,25.9,0.23,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,CLO,technical grade,,,300,ppb,,74,reproduction,total,emergence (female),mean,26.7,0.26,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,control,none,,,0,ppb,,118,reproduction,total,emergence (male),mean,23.1,0.34,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,CLO,technical grade,,,3,ppb,,115,reproduction,total,emergence (male),mean,23.6,0.16,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,CLO,technical grade,,,30,ppb,,127,reproduction,total,emergence (male),mean,23.1,0.25,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,CLO,technical grade,,,300,ppb,,124,reproduction,total,emergence (male),mean,23.1,0.27,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,control,none,,,0,ppb,,89,condition,total,weight mg (female),mean,33.6,0.44,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,CLO,technical grade,,,3,ppb,,89,condition,total,weight mg (female),mean,33.6,0.47,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,CLO,technical grade,,,30,ppb,,71,condition,total,weight mg (female),mean,32.3,0.63,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,CLO,technical grade,,,300,ppb,,73,condition,total,weight mg (female),mean,33.8,0.44,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,control,none,,,0,ppb,,118,condition,total,weight mg (male),mean,27.5,0.35,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,CLO,technical grade,,,3,ppb,,115,condition,total,weight mg (male),mean,27.6,0.4,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,CLO,technical grade,,,30,ppb,,127,condition,total,weight mg (male),mean,27.4,0.35,,4,1,1,British Columbia,table 1,N
Abbott et al.,2008,field,Megachile rotundata,alfalfa leafcutter,pollinator,,CLO,technical grade,,,300,ppb,,124,condition,total,weight mg (male),mean,27.4,0.4,,4,1,1,British Columbia,table 1,N
Sandrock et al.,2014,lab,Osmia bicornis,red mason bee,pollinator,,control,sugar water,0,µg/kg,,,,101,condition,total,offspring weight mg (male),mean,42.7,,12.5,3,1,1,Switzerland,figure 4,N
Sandrock et al.,2014,lab,Osmia bicornis,red mason bee,pollinator,,CLO,analytical grade,0.45,µg/kg,,,,101,condition,total,offspring weight mg (male),mean,45.2,,12.8,3,1,1,Switzerland,figure 4,N
Sandrock et al.,2014,lab,Osmia bicornis,red mason bee,pollinator,,THX,analytical grade,2.87,µg/kg,,,,101,condition,total,offspring weight mg (male),mean,45.2,,12.8,3,1,1,Switzerland,figure 4,N
Sandrock et al.,2014,lab,Osmia bicornis,red mason bee,pollinator,,control,sugar water,0,µg/kg,,,,101,condition,total,offspring weight mg (female),mean,88.6,,18.8,3,1,1,Switzerland,figure 4,N
Sandrock et al.,2014,lab,Osmia bicornis,red mason bee,pollinator,,CLO,analytical grade,0.45,µg/kg,,,,101,condition,total,offspring weight mg (female),mean,87.6,,18.8,3,1,1,Switzerland,figure 4,N
Sandrock et al.,2014,lab,Osmia bicornis,red mason bee,pollinator,,THX,analytical grade,2.87,µg/kg,,,,101,condition,total,offspring weight mg (female),mean,87.6,,18.8,3,1,1,Switzerland,figure 4,N
Sandrock et al.,2014,lab,Osmia bicornis,red mason bee,pollinator,,control,sugar water,0,µg/kg,,,,194,reproduction,total,no. of offspring per nest tube,mean,4.17,,1.58,3,1,1,Switzerland,figure 3,N
Sandrock et al.,2014,lab,Osmia bicornis,red mason bee,pollinator,,CLO,analytical grade,0.45,µg/kg,,,,151,reproduction,total,no. of offspring per nest tube,mean,2.8,,1.46,3,1,1,Switzerland,figure 3,N
Sandrock et al.,2014,lab,Osmia bicornis,red mason bee,pollinator,,THX,analytical grade,2.87,µg/kg,,,,151,reproduction,total,no. of offspring per nest tube,mean,2.8,,1.46,3,1,1,Switzerland,figure 3,N
Smith and Krischik,1999,lab,Coleomegilla maculata,spotted lady beetle,predator,,control,untreated plants,0,mg,,,,1260,movement,total,walk rate (cm/s),means within plant system,2.6,0.08,,3,105,,Minnesota,table 1,N
Smith and Krischik,1999,lab,Coleomegilla maculata,spotted lady beetle,predator,,IMI,granular,27,mg,,,,1260,movement,total,walk rate (cm/s),means within plant system,0.2,0.1,,3,105,,Minnesota,table 1,N
Smith and Krischik,1999,lab,Coleomegilla maculata,spotted lady beetle,predator,,IMI,granular,54,mg,,,,1260,movement,total,walk rate (cm/s),means within plant system,0,0,,3,105,,Minnesota,table 1,N
Smith and Krischik,1999,lab,Coleomegilla maculata,spotted lady beetle,predator,,control,untreated plants,0,mg,,,,1260,movement,total,flip time (s),means within plant system,3.62,0.85,,3,105,,Minnesota,table 1,N
Smith and Krischik,1999,lab,Coleomegilla maculata,spotted lady beetle,predator,,IMI,granular,27,mg,,,,1260,movement,total,flip time (s),means within plant system,28.04,1.63,,3,105,,Minnesota,table 1,N
Smith and Krischik,1999,lab,Coleomegilla maculata,spotted lady beetle,predator,,IMI,granular,54,mg,,,,1260,movement,total,flip time (s),means within plant system,31,,,3,105,,Minnesota,table 1,N
Smith and Krischik,1999,lab,Coleomegilla maculata,spotted lady beetle,predator,,control,untreated plants,0,mg,,,,1260,reproduction,total,no. days to 1st oviposition,means within plant system,2.56,0.5,,3,105,,Minnesota,table 1,N
Smith and Krischik,1999,lab,Coleomegilla maculata,spotted lady beetle,predator,,IMI,granular,27,mg,,,,1260,reproduction,total,no. days to 1st oviposition,means within plant system,9.78,2.01,,3,105,,Minnesota,table 1,N
Smith and Krischik,1999,lab,Coleomegilla maculata,spotted lady beetle,predator,,IMI,granular,54,mg,,,,1260,reproduction,total,no. days to 1st oviposition,means within plant system,14,2.1,,3,105,,Minnesota,table 1,N
Smith and Krischik,1999,lab,Coleomegilla maculata,spotted lady beetle,predator,,control,untreated plants,0,mg,,,,132,movement,total,walk rate (cm/s),means within plant system,2.95,0.22,,3,11,,Minnesota,table 1,N
Smith and Krischik,1999,lab,Coleomegilla maculata,spotted lady beetle,predator,,IMI,granular,27,mg,,,,132,movement,total,walk rate (cm/s),means within plant system,1.77,0.33,,3,11,,Minnesota,table 1,N
Smith and Krischik,1999,lab,Coleomegilla maculata,spotted lady beetle,predator,,IMI,granular,54,mg,,,,132,movement,total,walk rate (cm/s),means within plant system,1.93,0.24,,3,11,,Minnesota,table 1,N
Smith and Krischik,1999,lab,Coleomegilla maculata,spotted lady beetle,predator,,control,untreated plants,0,mg,,,,132,movement,total,flip time (s),means within plant system,2.44,0.67,,3,11,,Minnesota,table 1,N
Smith and Krischik,1999,lab,Coleomegilla maculata,spotted lady beetle,predator,,IMI,granular,27,mg,,,,132,movement,total,flip time (s),means within plant system,9.69,2.52,,3,11,,Minnesota,table 1,N
Smith and Krischik,1999,lab,Coleomegilla maculata,spotted lady beetle,predator,,IMI,granular,54,mg,,,,132,movement,total,flip time (s),means within plant system,6.34,1.55,,3,11,,Minnesota,table 1,N
Smith and Krischik,1999,lab,Coleomegilla maculata,spotted lady beetle,predator,,control,untreated plants,0,mg,,,,132,reproduction,total,no. days to 1st oviposition,means within plant system,10.64,1.66,,3,11,,Minnesota,table 1,N
Smith and Krischik,1999,lab,Coleomegilla maculata,spotted lady beetle,predator,,IMI,granular,27,mg,,,,132,reproduction,total,no. days to 1st oviposition,means within plant system,11.42,1.75,,3,11,,Minnesota,table 1,N
